mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53393595,13,13113,2019,07,0,2,44898
53393595,13,13113,2019,07,1,0,81300
53393595,13,13113,2019,07,1,1,20532
53393595,13,13113,2019,07,1,2,54245
53393595,13,13113,2019,07,2,0,76068
53393595,13,13113,2019,07,2,1,21769
53393595,13,13113,2019,07,2,2,51531
53393596,13,13113,2019,07,0,0,76986
53393596,13,13113,2019,07,0,1,18035
53393596,13,13113,2019,07,0,2,45935
53393596,13,13113,2019,07,1,0,123695
53393596,13,13113,2019,07,1,1,20358
53393596,13,13113,2019,07,1,2,74932
53393596,13,13113,2019,07,2,0,110135
53393596,13,13113,2019,07,2,1,19683
53393596,13,13113,2019,07,2,2,66513
53394505,13,13113,2019,07,0,0,13021
53394505,13,13113,2019,07,0,1,6615
53394505,13,13113,2019,07,0,2,9740
53394505,13,13113,2019,07,1,0,13513
53394505,13,13113,2019,07,1,1,7410
53394505,13,13113,2019,07,1,2,11196
53394505,13,13113,2019,07,2,0,13370
53394505,13,13113,2019,07,2,1,7179
53394505,13,13113,2019,07,2,2,10773
53394506,13,13113,2019,07,0,0,43600
53394506,13,13113,2019,07,0,1,11776
53394506,13,13113,2019,07,0,2,25096
53394506,13,13113,2019,07,1,0,50232
53394506,13,13113,2019,07,1,1,11894
53394506,13,13113,2019,07,1,2,30755
53394506,13,13113,2019,07,2,0,48307
53394506,13,13113,2019,07,2,1,11860
53394506,13,13113,2019,07,2,2,29112
53393585,13,13113,2019,08,0,0,32908
53393585,13,13113,2019,08,0,1,24086
53393585,13,13113,2019,08,0,2,28794
53393585,13,13113,2019,08,1,0,76021
53393585,13,13113,2019,08,1,1,24718
53393585,13,13113,2019,08,1,2,50615
53393585,13,13113,2019,08,2,0,62114
53393585,13,13113,2019,08,2,1,24514
53393585,13,13113,2019,08,2,2,43576
53393586,13,13113,2019,08,0,0,33329
53393586,13,13113,2019,08,0,1,15878
53393586,13,13113,2019,08,0,2,24419
53393586,13,13113,2019,08,1,0,70428
53393586,13,13113,2019,08,1,1,18430
53393586,13,13113,2019,08,1,2,45005
53393586,13,13113,2019,08,2,0,58461
53393586,13,13113,2019,08,2,1,17606
53393586,13,13113,2019,08,2,2,38364
53393595,13,13113,2019,08,0,0,62339
53393595,13,13113,2019,08,0,1,24135
53393595,13,13113,2019,08,0,2,44254
53393595,13,13113,2019,08,1,0,80590
53393595,13,13113,2019,08,1,1,21302
53393595,13,13113,2019,08,1,2,53407
53393595,13,13113,2019,08,2,0,74702
53393595,13,13113,2019,08,2,1,22216
53393595,13,13113,2019,08,2,2,50454
53393596,13,13113,2019,08,0,0,75292
53393596,13,13113,2019,08,0,1,17186
53393596,13,13113,2019,08,0,2,45040
53393596,13,13113,2019,08,1,0,116929
53393596,13,13113,2019,08,1,1,19642
53393596,13,13113,2019,08,1,2,71302
53393596,13,13113,2019,08,2,0,103498
53393596,13,13113,2019,08,2,1,18850
53393596,13,13113,2019,08,2,2,62830
53394505,13,13113,2019,08,0,0,13331
53394505,13,13113,2019,08,0,1,7060
53394505,13,13113,2019,08,0,2,9822
53394505,13,13113,2019,08,1,0,12712
